Frequent Subgraph Patterns (CMine Output):
Subgraph IDs: {'16'} | Coverage: 1.00
Subgraph IDs: {'10'} | Coverage: 1.00
Subgraph IDs: {'24'} | Coverage: 1.00
Subgraph IDs: {'33'} | Coverage: 1.00
Subgraph IDs: {'2'} | Coverage: 1.00
Subgraph IDs: {'19'} | Coverage: 1.00
Subgraph IDs: {'14'} | Coverage: 1.00
Subgraph IDs: {'22'} | Coverage: 1.00
Subgraph IDs: {'23'} | Coverage: 1.00
Subgraph IDs: {'4'} | Coverage: 1.00
Subgraph IDs: {'3'} | Coverage: 1.00
Subgraph IDs: {'13'} | Coverage: 1.00
Subgraph IDs: {'18'} | Coverage: 1.00
Subgraph IDs: {'6'} | Coverage: 1.00
Subgraph IDs: {'17'} | Coverage: 1.00
Subgraph IDs: {'32'} | Coverage: 1.00
Subgraph IDs: {'31'} | Coverage: 1.00
Subgraph IDs: {'11'} | Coverage: 1.00
Subgraph IDs: {'25'} | Coverage: 1.00
Subgraph IDs: {'8'} | Coverage: 1.00
Subgraph IDs: {'26'} | Coverage: 1.00
Subgraph IDs: {'34'} | Coverage: 1.00
Subgraph IDs: {'20'} | Coverage: 1.00
Subgraph IDs: {'27'} | Coverage: 1.00
Subgraph IDs: {'28'} | Coverage: 1.00
Subgraph IDs: {'7'} | Coverage: 1.00
Subgraph IDs: {'29'} | Coverage: 1.00
Subgraph IDs: {'21'} | Coverage: 1.00
Subgraph IDs: {'1'} | Coverage: 1.00
Subgraph IDs: {'0'} | Coverage: 1.00
Subgraph IDs: {'9'} | Coverage: 1.00
Subgraph IDs: {'30'} | Coverage: 1.00
Subgraph IDs: {'12'} | Coverage: 1.00
Subgraph IDs: {'15'} | Coverage: 1.00
Subgraph IDs: {'5'} | Coverage: 1.00
